text,label
Tickets,Travel
for,Travel
Events,Travel
While,Travel
TravellingThere,Travel
might,Travel
be,Travel
exciting,Travel
events,Travel
or,Travel
adventurous,Travel
activities,Travel
happening,Travel
in,Travel
your,Travel
destination,Travel
country/state,Travel
during,Travel
your,Travel
trip,Travel
for,Travel
which,Travel
you,Travel
make,Travel
the,Travel
booking,Travel
in,Travel
advance.,Travel
If,Travel
you,Travel
dont,Travel
want,Travel
to,Travel
miss,Travel
out,Travel
on,Travel
that,Travel
event,Travel
dont,Travel
forget,Travel
to,Travel
have,Travel
the,Travel
related,Travel
details,Travel
handy.COVID,Travel
19,Travel
Travel,Travel
DocumentsIf,Travel
you,Travel
are,Travel
travelling,Travel
during,Travel
COVID19,Travel
you,Travel
might,Travel
have,Travel
to,Travel
carry,Travel
a,Travel
few,Travel
additional,Travel
documents,Travel
like,Travel
COVID,Travel
19,Travel
report,Travel
vaccination,Travel
certificate,Travel
etc.,Travel
This,Travel
requirement,Travel
might,Travel
vary,Travel
across,Travel
different,Travel
countries,Travel
and,Travel
carrier,Travel
companies.,Travel
Therefore,Travel
you,Travel
should,Travel
enquire,Travel
and,Travel
check,Travel
the,Travel
documents,Travel
required,Travel
before,Travel
a,Travel
couple,Travel
of,Travel
days.Foreign,Travel
CurrencyOne,Travel
of,Travel
the,Travel
important,Travel
things,Travel
to,Travel
carry,Travel
is,Travel
a,Travel
considerable,Travel
amount,Travel
of,Travel
local,Travel
currency,Travel
of,Travel
your,Travel
destination,Travel
country.,Travel
This,Travel
way,Travel
you,Travel
might,Travel
be,Travel
able,Travel
to,Travel
save,Travel
time,Travel
on,Travel
getting,Travel
it,Travel
exchanged,Travel
and,Travel
conversion,Travel
charges.Travel,Travel
Insurance,Travel
Plan,Travel
Details,Travel
Travel,Travel
insurance,Travel
is,Travel
an,Travel
important,Travel
document,Travel
to,Travel
carry,Travel
while,Travel
travelling,Travel
to,Travel
foreign,Travel
nations,Travel
as,Travel
it,Travel
might,Travel
get,Travel
difficult,Travel
to,Travel
